station_id,station_name,lat,lon,gestore,source,PREC_value,PREC_dt,TARIA2M_value,TARIA2M_dt,PRESS_value,PRESS_dt,VV_value,VV_dt,UMID2M_value,UMID2M_dt,PREC_range_flag,TARIA2M_range_flag,PRESS_range_flag,VV_range_flag,UMID2M_range_flag,PREC_robust_z,PREC_outlier_flag,TARIA2M_robust_z,TARIA2M_outlier_flag,PRESS_robust_z,PRESS_outlier_flag,VV_robust_z,VV_outlier_flag,UMID2M_robust_z,UMID2M_outlier_flag,any_outlier_flag,coastal_weight,dist_to_coast_km,any_flag
ADRIATIC::MH_dpcn-marche_Campodiegoli,Campodiegoli,43.3103,12.8242,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,28.5,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,-0.37472222222222207,False,,,,,,,False,0.517,65.2,False
ADRIATIC::MH_dpcn-marche_Camponocecchio,Camponocecchio,43.40635,12.98029,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,30.5,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,0.0,False,,,,,,,False,0.614,48.9,False
ADRIATIC::MH_dpcn-marche_Cantiano,Cantiano,43.46707,12.64052,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,28.9,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,-0.299777777777778,False,,,,,,,False,0.476,72.1,False
ADRIATIC::MH_dpcn-marche_Capodacqua,Capodacqua,42.73848,13.23818,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,25.4,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,-0.9555416666666665,False,,,,,,,False,0.533,62.5,False
ADRIATIC::MH_dpcn-marche_Carassai,Carassai,43.02597,13.64595,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 15:45:00+00:00,31.1,2026-06-21 15:30:00+00:00,,,,,,,False,False,False,False,False,,False,0.11241666666666689,False,,,,,,,False,0.763,23.7,False
ADRIATIC::MH_dpcn-marche_Carpegna,Carpegna,43.78058,12.34062,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,28.0,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,-0.4684027777777776,False,,,,,,,False,0.671,39.2,False
ADRIATIC::MH_dpcn-marche_Casteldelci,Casteldelci,43.79056,12.13194,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:10:00+00:00,25.5,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,-0.9368055555555552,False,,,,,,,False,0.644,43.8,False
ADRIATIC::MH_dpcn-marche_Cesane_Foresta,Cesane Foresta,43.6926,12.7675,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,28.1,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,-0.44966666666666616,False,,,,,,,False,0.569,56.4,False
ADRIATIC::MH_dpcn-marche_Cesano,Cesano,43.6649,13.01444,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,32.5,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,0.37472222222222207,False,,,,,,,False,0.665,40.2,False
ADRIATIC::MH_dpcn-marche_Chienti_2,Chienti 2,43.2608,13.59,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,30.3,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,-0.037472222222222074,False,,,,,,,False,0.663,40.5,False
