run_name,sigma,hidden_dim,lr,epochs,final_train_loss,final_val_loss,best_val_loss,best_epoch
s0.08_h256_lr0.0001_e40,0.08,256,0.0001,40,0.5264649202426275,0.3694603890180588,0.30272169783711433,21
s0.08_h128_lr0.0001_e40,0.08,128,0.0001,40,0.5836190114418666,0.3644651547074318,0.3452412858605385,30
s0.05_h256_lr0.0001_e40,0.05,256,0.0001,40,0.6069764226675034,0.39497917145490646,0.3699568957090378,15
s0.03_h128_lr0.0001_e40,0.03,128,0.0001,40,0.6760806063810985,0.43611203879117966,0.3733453005552292,10
s0.03_h256_lr0.0001_e40,0.03,256,0.0001,40,0.6250002304712932,0.4035080075263977,0.3751096911728382,5
s0.05_h64_lr0.0001_e40,0.05,64,0.0001,40,0.7274185349543889,0.4336887076497078,0.3791460618376732,3
s0.08_h64_lr0.0001_e40,0.08,64,0.0001,40,0.7144317229588827,0.49546901881694794,0.3863898292183876,5
s0.05_h128_lr0.0001_e40,0.05,128,0.0001,40,0.6534830788771312,0.49163977056741714,0.40285537391901016,2
s0.03_h64_lr0.0001_e40,0.03,64,0.0001,40,0.752748680114746,0.4665169343352318,0.4060916528105736,5
